"affected","implementer","year","flow","value"
"Japan","Republic of Korea","2013","all",0.212443786749858
"Mexico","Republic of Korea","2013","all",0.0570978819592145
"Russia","Republic of Korea","2013","all",0.32221313164841
"Saudi Arabia","Republic of Korea","2013","all",0.848924745134573
"South Africa","Republic of Korea","2013","all",0.0944483282804954
"Turkey","Republic of Korea","2013","all",0.00632300578478837
"United Kingdom","Republic of Korea","2013","all",0.0674661661524891
"United States of America","Republic of Korea","2013","all",0.173148286845866
"World","Republic of Korea","2013","all",0.194803534115651
"Argentina","Russia","2013","all",0.481159935698354
"Australia","Russia","2013","all",0.248023414843968
"Brazil","Russia","2013","all",0.837109595483624
"Canada","Russia","2013","all",0.611035342204387
"China","Russia","2013","all",0.290051197880572
"France","Russia","2013","all",0.388736238988753
"Germany","Russia","2013","all",0.420451026505296
"India","Russia","2013","all",0.509611542317182
"Indonesia","Russia","2013","all",0.369272336830336
"Italy","Russia","2013","all",0.277788151271699
"Japan","Russia","2013","all",0.786687534362398
"Mexico","Russia","2013","all",0.483425494819415
"Republic of Korea","Russia","2013","all",0.481973171707439
"Saudi Arabia","Russia","2013","all",0.172839271859764
"South Africa","Russia","2013","all",0.106875613091242
"Turkey","Russia","2013","all",0.433948172412485
"United Kingdom","Russia","2013","all",0.518841163302424
"United States of America","Russia","2013","all",0.488103268868465
"World","Russia","2013","all",0.457215089422624
"Argentina","Saudi Arabia","2013","all",0.020851501238339
"Australia","Saudi Arabia","2013","all",0.592260161462676
"Brazil","Saudi Arabia","2013","all",0.385465083902022
"Canada","Saudi Arabia","2013","all",0.353486302352949
"China","Saudi Arabia","2013","all",0.120718821501211
"France","Saudi Arabia","2013","all",0.301272157194982
"Germany","Saudi Arabia","2013","all",0.303010689921288
"India","Saudi Arabia","2013","all",0.159228553394739
"Indonesia","Saudi Arabia","2013","all",0.232435384464381
"Italy","Saudi Arabia","2013","all",0.262691836172052
"Japan","Saudi Arabia","2013","all",0.608406811693323
"Mexico","Saudi Arabia","2013","all",0.401426634146127
"Republic of Korea","Saudi Arabia","2013","all",0.459325837578997
"Russia","Saudi Arabia","2013","all",0.00848080763300698
"South Africa","Saudi Arabia","2013","all",0.413515279929636
"Turkey","Saudi Arabia","2013","all",0.292974164780836
"United Kingdom","Saudi Arabia","2013","all",0.428562881450341
"United States of America","Saudi Arabia","2013","all",0.485380476515874
"World","Saudi Arabia","2013","all",0.37374917030817
"Argentina","South Africa","2013","all",0.36621188438467
"Australia","South Africa","2013","all",0.0675000264531182
"Brazil","South Africa","2013","all",0.244631177842388
"Canada","South Africa","2013","all",0.0512001499361664
"China","South Africa","2013","all",0.35235828001232
"France","South Africa","2013","all",0.104355436073707
"Germany","South Africa","2013","all",0.181574232080525
"India","South Africa","2013","all",0.131628253481424
"Indonesia","South Africa","2013","all",0.124455343618257
"Italy","South Africa","2013","all",0.189887217815512
"Japan","South Africa","2013","all",0.106698392036982
"Mexico","South Africa","2013","all",0.219900894739112
"Republic of Korea","South Africa","2013","all",0.275508826397965
"Russia","South Africa","2013","all",0.0171170564745842
"Saudi Arabia","South Africa","2013","all",0.845341320276321
"Turkey","South Africa","2013","all",0.074234349492348
"United Kingdom","South Africa","2013","all",0.156379762854966
"United States of America","South Africa","2013","all",0.0863339734972314
"World","South Africa","2013","all",0.247438223881076
"Argentina","Turkey","2013","all",0.0598683032165009
"Australia","Turkey","2013","all",0.0031309154461113
"Brazil","Turkey","2013","all",0.0201101926360724
"Canada","Turkey","2013","all",0.0414559258083979
"China","Turkey","2013","all",0.207661029654867
"France","Turkey","2013","all",0.128194647072543
"Germany","Turkey","2013","all",0.0656038357822267
"India","Turkey","2013","all",0.155527811544566
"Indonesia","Turkey","2013","all",0.31993615746815
"Italy","Turkey","2013","all",0.0750030321065661
"Japan","Turkey","2013","all",0.035372283845283
"Mexico","Turkey","2013","all",0.523527897793947
"Republic of Korea","Turkey","2013","all",0.0533290144127348
"Russia","Turkey","2013","all",0.0816533822059118
"Saudi Arabia","Turkey","2013","all",0.167463598550497
"South Africa","Turkey","2013","all",0.0104871413640539
"United Kingdom","Turkey","2013","all",0.0493463315306746
"United States of America","Turkey","2013","all",0.121833645251572
"World","Turkey","2013","all",0.100535243739568
"Argentina","United Kingdom","2013","all",0.655871908670934
"Australia","United Kingdom","2013","all",0.77788979523155
"Brazil","United Kingdom","2013","all",0.491787267048098
"Canada","United Kingdom","2013","all",0.842830422657153
"China","United Kingdom","2013","all",0.757090985039374
"France","United Kingdom","2013","all",0.014699587904645
"Germany","United Kingdom","2013","all",0.0225480424045211
"India","United Kingdom","2013","all",0.82654697520917
"Indonesia","United Kingdom","2013","all",0.613781528639841
"Italy","United Kingdom","2013","all",0.01110722297433
"Japan","United Kingdom","2013","all",0.555348513654063
"Mexico","United Kingdom","2013","all",0.711312150626908
"Republic of Korea","United Kingdom","2013","all",0.565087887803803
"Russia","United Kingdom","2013","all",0.759353379862636
"Saudi Arabia","United Kingdom","2013","all",0.944036232235097
"South Africa","United Kingdom","2013","all",0.800844324441464
"Turkey","United Kingdom","2013","all",0.745585128041421
"United States of America","United Kingdom","2013","all",0.803576014681671
"World","United Kingdom","2013","all",0.40745266439142
"Argentina","United States of America","2013","all",0.465117552003577
"Australia","United States of America","2013","all",0.306441282815515
"Brazil","United States of America","2013","all",0.360133628693541
"Canada","United States of America","2013","all",0.447350914297474
"China","United States of America","2013","all",0.519454514013269
"France","United States of America","2013","all",0.436822233881866
"Germany","United States of America","2013","all",0.500006335216785
"India","United States of America","2013","all",0.251650185535464
"Indonesia","United States of America","2013","all",0.236128669561852
"Italy","United States of America","2013","all",0.323348985542194
"Japan","United States of America","2013","all",0.591256263390262
"Mexico","United States of America","2013","all",0.434797571952159
"Republic of Korea","United States of America","2013","all",0.671680766788366
"Russia","United States of America","2013","all",0.545595883498264
"Saudi Arabia","United States of America","2013","all",0.0430411686320501
"South Africa","United States of America","2013","all",0.197516671645074
"Turkey","United States of America","2013","all",0.254008757314249
"United Kingdom","United States of America","2013","all",0.49338520456115
"World","United States of America","2013","all",0.469393051707551
"Argentina","World","2013","all",0.439855662933261
"Australia","World","2013","all",0.37356517099761
"Brazil","World","2013","all",0.521316479625682
"Canada","World","2013","all",0.448400978827193
"China","World","2013","all",0.439675198539334
"France","World","2013","all",0.190331767715357
"Germany","World","2013","all",0.264238496132994
"India","World","2013","all",0.459634307946651
"Indonesia","World","2013","all",0.277577577795962
"Italy","World","2013","all",0.171394529477676
"Japan","World","2013","all",0.56760576027722
"Mexico","World","2013","all",0.427856277731685
"Republic of Korea","World","2013","all",0.620423373661627
"Russia","World","2013","all",0.647801801739693
"Saudi Arabia","World","2013","all",0.378317909149879
"South Africa","World","2013","all",0.489048274490239
"Turkey","World","2013","all",0.596886560929561
"United Kingdom","World","2013","all",0.26014926486489
"United States of America","World","2013","all",0.334691951874826
"World","World","2013","all",0.399031922699312
"Australia","Argentina","2014","all",0.935652827912336
"Brazil","Argentina","2014","all",0.945750942572107
"Canada","Argentina","2014","all",0.755292891638459
"China","Argentina","2014","all",0.89784971071751
"France","Argentina","2014","all",0.841215582925315
"Germany","Argentina","2014","all",0.825380773305517
"India","Argentina","2014","all",0.92621689663932
"Indonesia","Argentina","2014","all",0.874990250894749
"Italy","Argentina","2014","all",0.788005971348798
"Japan","Argentina","2014","all",0.841162292448311
"Mexico","Argentina","2014","all",0.937100422246069
"Republic of Korea","Argentina","2014","all",0.693791000092755
"Russia","Argentina","2014","all",0.924159796505367
"South Africa","Argentina","2014","all",0.786234552151357
"Turkey","Argentina","2014","all",0.553056199658276
"United Kingdom","Argentina","2014","all",0.839462412424436
"United States of America","Argentina","2014","all",0.903777889609147
"World","Argentina","2014","all",0.908437291301568
"Argentina","Australia","2014","all",0
"Brazil","Australia","2014","all",0.0270128141625282
"Canada","Australia","2014","all",0.00486324312670609
"China","Australia","2014","all",0.0407451094973095
"France","Australia","2014","all",0.0391034108284562
"Germany","Australia","2014","all",0.0121597942549234
"India","Australia","2014","all",0.0369430309668067
"Indonesia","Australia","2014","all",0.00321482417227929
"Italy","Australia","2014","all",0.0263913210989326
"Japan","Australia","2014","all",0.0438921548999816
"Mexico","Australia","2014","all",0.0741218787818976
"Republic of Korea","Australia","2014","all",0.1129466218855
"Russia","Australia","2014","all",0.0693178052300122
"Saudi Arabia","Australia","2014","all",0
"South Africa","Australia","2014","all",0.0238018766209397
"Turkey","Australia","2014","all",0
"United Kingdom","Australia","2014","all",0.0283823132557508
"United States of America","Australia","2014","all",0.0110869275698294
"World","Australia","2014","all",0.032133946071011
"Argentina","Brazil","2014","all",0.506320520989384
"Australia","Brazil","2014","all",0.0397472114035281
"Canada","Brazil","2014","all",0.148359943874652
"China","Brazil","2014","all",0.479792480331888
"France","Brazil","2014","all",0.43173187051959
"Germany","Brazil","2014","all",0.426386651721713
"India","Brazil","2014","all",0.432381343478789
"Indonesia","Brazil","2014","all",0.415634204566266
"Italy","Brazil","2014","all",0.395035813887404
"Japan","Brazil","2014","all",0.43807556901775
"Mexico","Brazil","2014","all",0.442232187848531
"Republic of Korea","Brazil","2014","all",0.350834653728071
"Russia","Brazil","2014","all",0.0330032922710581
"Saudi Arabia","Brazil","2014","all",0.923326526328197
"South Africa","Brazil","2014","all",0.210041893017379
"Turkey","Brazil","2014","all",0.310707457891883
"United Kingdom","Brazil","2014","all",0.34867049942411
"United States of America","Brazil","2014","all",0.378063783876467
"World","Brazil","2014","all",0.42090100796062
"Argentina","Canada","2014","all",0.128848788203331
"Australia","Canada","2014","all",0.277330590395311
"Brazil","Canada","2014","all",0.0645684724208824
"China","Canada","2014","all",0.0681043677697502
"France","Canada","2014","all",0.255966663736975
"Germany","Canada","2014","all",0.282098472950373
"India","Canada","2014","all",0.0549709984391554
"Indonesia","Canada","2014","all",0.0781153657579196
"Italy","Canada","2014","all",0.18716000113346
"Japan","Canada","2014","all",0.407185228513062
"Mexico","Canada","2014","all",0.284488529043101
"Republic of Korea","Canada","2014","all",0.333594142296645
"Russia","Canada","2014","all",0.716940928924133
"Saudi Arabia","Canada","2014","all",0.960146541063381
"South Africa","Canada","2014","all",0.0632384570916072
"Turkey","Canada","2014","all",0.0628279669475212
"United Kingdom","Canada","2014","all",0.542705248789794
"United States of America","Canada","2014","all",0.249446825921323
"World","Canada","2014","all",0.252408438303562
"Argentina","China","2014","all",0.718884009792252
"Australia","China","2014","all",0.933361228156173
"Brazil","China","2014","all",0.900757298436641
"Canada","China","2014","all",0.721461606605473
"France","China","2014","all",0.828153914893646
"Germany","China","2014","all",0.841990970195924
"India","China","2014","all",0.839422991982655
"Indonesia","China","2014","all",0.717125337617316
"Italy","China","2014","all",0.73992903210381
"Japan","China","2014","all",0.765809609093253
"Mexico","China","2014","all",0.835937222189298
"Republic of Korea","China","2014","all",0.828660147259508
"Russia","China","2014","all",0.748041872935977
"Saudi Arabia","China","2014","all",0.986151231066697
"South Africa","China","2014","all",0.560151969781714
"Turkey","China","2014","all",0.831725979368974
"United Kingdom","China","2014","all",0.721055031643285
"United States of America","China","2014","all",0.812277475437801
"World","China","2014","all",0.808727969006315
"Argentina","France","2014","all",0.774291471869109
"Australia","France","2014","all",0.844769051684292
"Brazil","France","2014","all",0.786785135270107
"Canada","France","2014","all",0.836975631200845
"China","France","2014","all",0.977354237794428
"Germany","France","2014","all",0.207913190813001
"India","France","2014","all",0.927243148088848
"Indonesia","France","2014","all",0.894920166920193
"Italy","France","2014","all",0.119591767414648
"Japan","France","2014","all",0.846467303068421
"Mexico","France","2014","all",0.619494249364534
"Republic of Korea","France","2014","all",0.845437776580292
"Russia","France","2014","all",0.966903322887023
"Saudi Arabia","France","2014","all",0.980181519953008
"South Africa","France","2014","all",0.839479531867411
"Turkey","France","2014","all",0.768712636846311
"United Kingdom","France","2014","all",0.186019517170443
"United States of America","France","2014","all",0.86500769073496
"World","France","2014","all",0.478299691786258
"Argentina","Germany","2014","all",0.57499714270554
"Australia","Germany","2014","all",0.734218197966624
"Brazil","Germany","2014","all",0.661036983488476
"Canada","Germany","2014","all",0.852549950241564
"China","Germany","2014","all",0.977098757931124
"France","Germany","2014","all",0.252726457173706
"India","Germany","2014","all",0.912683746079106
"Indonesia","Germany","2014","all",0.902418109270977
"Italy","Germany","2014","all",0.233915387051303
"Japan","Germany","2014","all",0.876657558449675
"Mexico","Germany","2014","all",0.827853842462864
"Republic of Korea","Germany","2014","all",0.888022567481118
"Russia","Germany","2014","all",0.967504507535075
"Saudi Arabia","Germany","2014","all",0.922525182795196
"South Africa","Germany","2014","all",0.735349979745596
"Turkey","Germany","2014","all",0.739785312887924
"United Kingdom","Germany","2014","all",0.242634555714906
"United States of America","Germany","2014","all",0.822252106181996
"World","Germany","2014","all",0.618867005455528
"Argentina","India","2014","all",0.848803798110789
"Australia","India","2014","all",0.902482457694502
"Brazil","India","2014","all",0.589123149041208
"Canada","India","2014","all",0.686042078325783
"China","India","2014","all",0.706981747080838
"France","India","2014","all",0.330733009587623
"Germany","India","2014","all",0.498639275046169
"Indonesia","India","2014","all",0.779696500665216
"Italy","India","2014","all",0.452966121328979
"Japan","India","2014","all",0.494499439631065
"Mexico","India","2014","all",0.10177643865357
"Republic of Korea","India","2014","all",0.584810768826305
"Russia","India","2014","all",0.557914455572417
"Saudi Arabia","India","2014","all",0.188265470251576
"South Africa","India","2014","all",0.877140329277983
"Turkey","India","2014","all",0.108515149803239
"United Kingdom","India","2014","all",0.701222973493182
"United States of America","India","2014","all",0.448100508718894
"World","India","2014","all",0.56729907620037
"Argentina","Indonesia","2014","all",0.881567900422792
"Australia","Indonesia","2014","all",0.560758874174322
"Brazil","Indonesia","2014","all",0.475363393049009
"Canada","Indonesia","2014","all",0.583374008973008
"China","Indonesia","2014","all",0.582133233514579
"France","Indonesia","2014","all",0.750720210354631
"Germany","Indonesia","2014","all",0.656759136628118
"India","Indonesia","2014","all",0.491122617905475
"Italy","Indonesia","2014","all",0.630089610190053
"Japan","Indonesia","2014","all",0.72171254214179
"Mexico","Indonesia","2014","all",0.356235164238066
"Republic of Korea","Indonesia","2014","all",0.303525009059707
"Russia","Indonesia","2014","all",0.363440741596613
"Saudi Arabia","Indonesia","2014","all",0.142328714285196
"South Africa","Indonesia","2014","all",0.257289469199862
"Turkey","Indonesia","2014","all",0.176340444091821
"United Kingdom","Indonesia","2014","all",0.565060457470032
"United States of America","Indonesia","2014","all",0.649115703614955
"World","Indonesia","2014","all",0.54572516676985
"Argentina","Italy","2014","all",0.677138975880041
"Australia","Italy","2014","all",0.621442305079726
"Brazil","Italy","2014","all",0.604198359405991
"Canada","Italy","2014","all",0.816166199746364
"China","Italy","2014","all",0.965006898167774
"France","Italy","2014","all",0.0685840517962378
"Germany","Italy","2014","all",0.0589246701650819
"India","Italy","2014","all",0.915305223935032
"Indonesia","Italy","2014","all",0.866489314174904
"Japan","Italy","2014","all",0.606774703747786
"Mexico","Italy","2014","all",0.555307984598667
"Republic of Korea","Italy","2014","all",0.634845307171173
"Russia","Italy","2014","all",0.947147490280165
"Saudi Arabia","Italy","2014","all",0.987438296051482
"South Africa","Italy","2014","all",0.870711923171507
"Turkey","Italy","2014","all",0.604044984430589
"United Kingdom","Italy","2014","all",0.0425184063976985
"United States of America","Italy","2014","all",0.823880839511169
"World","Italy","2014","all",0.373289337601172
"Argentina","Japan","2014","all",0.00954333195652931
"Australia","Japan","2014","all",0.0238234933614241
"Brazil","Japan","2014","all",0.0103421332695796
"Canada","Japan","2014","all",0.167110042433683
"China","Japan","2014","all",0.229000295468936
"France","Japan","2014","all",0.057941768205635
"Germany","Japan","2014","all",0.276672334908307
"India","Japan","2014","all",0.0712665075069299
"Indonesia","Japan","2014","all",0.0682267014365339
"Italy","Japan","2014","all",0.192716895256161
"Mexico","Japan","2014","all",0.0853103948804449
"Republic of Korea","Japan","2014","all",0.190195622122988
"Russia","Japan","2014","all",0.0370141618257335
"Saudi Arabia","Japan","2014","all",0.00177083707048802
"South Africa","Japan","2014","all",0.148783321036642
"Turkey","Japan","2014","all",0.119814884636654
"United Kingdom","Japan","2014","all",0.187456073788471
"United States of America","Japan","2014","all",0.126139974880297
"World","Japan","2014","all",0.145275982663732
"Argentina","Mexico","2014","all",0.0580353906905043
"Australia","Mexico","2014","all",0.0132783747388415
"Brazil","Mexico","2014","all",0.0315323858512733
"Canada","Mexico","2014","all",0.030932267778411
"China","Mexico","2014","all",0.0686214868014845
"France","Mexico","2014","all",0.0260123147512316
"Germany","Mexico","2014","all",0.0168749297368993
"India","Mexico","2014","all",0.0180086246410677
"Indonesia","Mexico","2014","all",0.0479523021497475
"Italy","Mexico","2014","all",0.0164683045139913
"Japan","Mexico","2014","all",0.0220965148636979
"Republic of Korea","Mexico","2014","all",0.0131032120251799
"Russia","Mexico","2014","all",0.141588716083505
"Saudi Arabia","Mexico","2014","all",0
"South Africa","Mexico","2014","all",0.0242204017237128
"Turkey","Mexico","2014","all",0.0018754982917927
"United Kingdom","Mexico","2014","all",0.012078750623506
"United States of America","Mexico","2014","all",0.0380772164670625
"World","Mexico","2014","all",0.0376856801537081
"Argentina","Republic of Korea","2014","all",0.00653363265905415
"Australia","Republic of Korea","2014","all",0.168134622346913
"Brazil","Republic of Korea","2014","all",0.0172772107528559
"Canada","Republic of Korea","2014","all",0.141722085911483
"China","Republic of Korea","2014","all",0.0537176089021849
"France","Republic of Korea","2014","all",0.0344540918059809
"Germany","Republic of Korea","2014","all",0.0383703191530651
"India","Republic of Korea","2014","all",0.032976214597941
"Indonesia","Republic of Korea","2014","all",0.0757478818001403
"Italy","Republic of Korea","2014","all",0.00747417246323693
"Japan","Republic of Korea","2014","all",0.0431594162386092
"Mexico","Republic of Korea","2014","all",0.0428980636233906
"Russia","Republic of Korea","2014","all",0.325039546975849
"Saudi Arabia","Republic of Korea","2014","all",0.84839573605434
"South Africa","Republic of Korea","2014","all",0.174426210101952
"Turkey","Republic of Korea","2014","all",1.73233035199681e-05
"United Kingdom","Republic of Korea","2014","all",0.0240225296841891
"United States of America","Republic of Korea","2014","all",0.0351576020874132
"World","Republic of Korea","2014","all",0.128121818165586
"Argentina","Russia","2014","all",0.534727592317745
"Australia","Russia","2014","all",0.257042652104237
"Brazil","Russia","2014","all",0.888692388009612
"Canada","Russia","2014","all",0.661529866252741
"China","Russia","2014","all",0.527657607495035
"France","Russia","2014","all",0.443266585034358
"Germany","Russia","2014","all",0.501299465112723
"India","Russia","2014","all",0.598854341830191
"Indonesia","Russia","2014","all",0.474425073169481
"Italy","Russia","2014","all",0.422351929535486
"Japan","Russia","2014","all",0.825713659270781
"Mexico","Russia","2014","all",0.572364872631553
"Republic of Korea","Russia","2014","all",0.619917641251748
"Saudi Arabia","Russia","2014","all",0.172839271859764
"South Africa","Russia","2014","all",0.149195257968241
"Turkey","Russia","2014","all",0.510525777846372
"United Kingdom","Russia","2014","all",0.562921744796857
"United States of America","Russia","2014","all",0.557408752610563
"World","Russia","2014","all",0.565432485721062
"Argentina","Saudi Arabia","2014","all",0.0218467199482841
"Australia","Saudi Arabia","2014","all",0.608497433139134
"Brazil","Saudi Arabia","2014","all",0.385468739894167
"Canada","Saudi Arabia","2014","all",0.354561528696553
"China","Saudi Arabia","2014","all",0.142707415833689
"France","Saudi Arabia","2014","all",0.313837636794137
"Germany","Saudi Arabia","2014","all",0.322566685195872
"India","Saudi Arabia","2014","all",0.167525464628882
"Indonesia","Saudi Arabia","2014","all",0.232543252857634
"Italy","Saudi Arabia","2014","all",0.292864779737426
"Japan","Saudi Arabia","2014","all",0.609798988227682
"Mexico","Saudi Arabia","2014","all",0.402060975619238
"Republic of Korea","Saudi Arabia","2014","all",0.544315794590337
"Russia","Saudi Arabia","2014","all",0.00864400753661376
"South Africa","Saudi Arabia","2014","all",0.417688712864318
"Turkey","Saudi Arabia","2014","all",0.293244149001898
"United Kingdom","Saudi Arabia","2014","all",0.4341099667194
"United States of America","Saudi Arabia","2014","all",0.492592045446859
"World","Saudi Arabia","2014","all",0.389247832982145
"Argentina","South Africa","2014","all",0.412523293511873
"Australia","South Africa","2014","all",0.0756158993272321
"Brazil","South Africa","2014","all",0.247381024796838
"Canada","South Africa","2014","all",0.0512029057471835
"China","South Africa","2014","all",0.36924023053774
"France","South Africa","2014","all",0.119817569442839
"Germany","South Africa","2014","all",0.200723212693209
"India","South Africa","2014","all",0.173550355305215
"Indonesia","South Africa","2014","all",0.152058033029479
"Italy","South Africa","2014","all",0.199204270144326
"Japan","South Africa","2014","all",0.134206500454582
"Mexico","South Africa","2014","all",0.221598725514097
"Republic of Korea","South Africa","2014","all",0.342174092854872
"Russia","South Africa","2014","all",0.0171170564745842
"Saudi Arabia","South Africa","2014","all",0.845497313406857
"Turkey","South Africa","2014","all",0.0750861655150354
"United Kingdom","South Africa","2014","all",0.172871794453204
"United States of America","South Africa","2014","all",0.10128919051567
"World","South Africa","2014","all",0.265646262775208
"Argentina","Turkey","2014","all",0.0609880334247055
"Australia","Turkey","2014","all",0.0031309154461113
"Brazil","Turkey","2014","all",0.0235572644533018
"Canada","Turkey","2014","all",0.047394781559741
"China","Turkey","2014","all",0.304756666234009
"France","Turkey","2014","all",0.235887931183162
"Germany","Turkey","2014","all",0.165793100297982
"India","Turkey","2014","all",0.247650906633788
"Indonesia","Turkey","2014","all",0.334430716359369
"Italy","Turkey","2014","all",0.156924242418722
"Japan","Turkey","2014","all",0.139051839689552
"Mexico","Turkey","2014","all",0.537151136639639
"Republic of Korea","Turkey","2014","all",0.118000709062208
"Russia","Turkey","2014","all",0.126168719551528
"Saudi Arabia","Turkey","2014","all",0.167463598550497
"South Africa","Turkey","2014","all",0.0104871413640539
"United Kingdom","Turkey","2014","all",0.257392568470736
"United States of America","Turkey","2014","all",0.163467502817994
"World","Turkey","2014","all",0.180843890804113
"Argentina","United Kingdom","2014","all",0.660207301163086
"Australia","United Kingdom","2014","all",0.77839227543406
"Brazil","United Kingdom","2014","all",0.492367436690674
"Canada","United Kingdom","2014","all",0.843026729398301
"China","United Kingdom","2014","all",0.979388079733129
"France","United Kingdom","2014","all",0.0159956693021906
"Germany","United Kingdom","2014","all",0.0294432836628202
"India","United Kingdom","2014","all",0.931439939262058
"Indonesia","United Kingdom","2014","all",0.80467908875607
"Italy","United Kingdom","2014","all",0.0114327253758575
"Japan","United Kingdom","2014","all",0.556585403994978
"Mexico","United Kingdom","2014","all",0.712525335548009
"Republic of Korea","United Kingdom","2014","all",0.565087887803803
"Russia","United Kingdom","2014","all",0.759353379862636
"Saudi Arabia","United Kingdom","2014","all",0.944036232235097
"South Africa","United Kingdom","2014","all",0.800174306203849
"Turkey","United Kingdom","2014","all",0.742101639412031
"United States of America","United Kingdom","2014","all",0.803675848570492
"World","United Kingdom","2014","all",0.444160133249421
"Argentina","United States of America","2014","all",0.472674623799508
"Australia","United States of America","2014","all",0.345326976893554
"Brazil","United States of America","2014","all",0.370024952276946
"Canada","United States of America","2014","all",0.456032787287629
"China","United States of America","2014","all",0.534462354050085
"France","United States of America","2014","all",0.475855703271239
"Germany","United States of America","2014","all",0.522336822526339
"India","United States of America","2014","all",0.279033447749894
"Indonesia","United States of America","2014","all",0.259195552025951
"Italy","United States of America","2014","all",0.352797244178198
"Japan","United States of America","2014","all",0.610114135774585
"Mexico","United States of America","2014","all",0.44694949296938
"Republic of Korea","United States of America","2014","all",0.681709482269557
"Russia","United States of America","2014","all",0.560154547753414
"Saudi Arabia","United States of America","2014","all",0.0432368219365426
"South Africa","United States of America","2014","all",0.198962092362746
"Turkey","United States of America","2014","all",0.276917242753378
"United Kingdom","United States of America","2014","all",0.525948562793172
"World","United States of America","2014","all",0.484901473395357
"Argentina","World","2014","all",0.507850186034679
"Australia","World","2014","all",0.430670713382389
"Brazil","World","2014","all",0.535125390722172
"Canada","World","2014","all",0.457972572372265
"China","World","2014","all",0.498906520063393
"France","World","2014","all",0.236744532087072
"Germany","World","2014","all",0.281044477392147
"India","World","2014","all",0.506175726211465
"Indonesia","World","2014","all",0.322591000186251
"Italy","World","2014","all",0.219469573289027
"Japan","World","2014","all",0.554351324003729
"Mexico","World","2014","all",0.444997723005198
"Republic of Korea","World","2014","all",0.626076287614498
"Russia","World","2014","all",0.661534000896587
"Saudi Arabia","World","2014","all",0.39334505411912
"South Africa","World","2014","all",0.484436219730799
"Turkey","World","2014","all",0.607583174439201
"United Kingdom","World","2014","all",0.328957602637931
"United States of America","World","2014","all",0.364400368740263
"World","World","2014","all",0.42779547551032
"Australia","Argentina","2015","all",0.935652827912336
"Brazil","Argentina","2015","all",0.946626094709429
"Canada","Argentina","2015","all",0.756701252129885
"China","Argentina","2015","all",0.903923513950776
"France","Argentina","2015","all",0.839481192660321
"Germany","Argentina","2015","all",0.827439346621762
"India","Argentina","2015","all",0.926535817537356
"Indonesia","Argentina","2015","all",0.854768169824263
"Italy","Argentina","2015","all",0.797743036203477
"Japan","Argentina","2015","all",0.841136038770387
"Mexico","Argentina","2015","all",0.937961034114199
"Republic of Korea","Argentina","2015","all",0.694957716488476
"Russia","Argentina","2015","all",0.924159796505367
"South Africa","Argentina","2015","all",0.786627140393025
"Turkey","Argentina","2015","all",0.553056199658276
"United Kingdom","Argentina","2015","all",0.839842261182468
"United States of America","Argentina","2015","all",0.909894265140921
"World","Argentina","2015","all",0.910888002000848
"Argentina","Australia","2015","all",0
"Brazil","Australia","2015","all",0.0270128141625282
"Canada","Australia","2015","all",0.004867237165585
"China","Australia","2015","all",0.0444865699369864
"France","Australia","2015","all",0.0395707378573883
"Germany","Australia","2015","all",0.0100061799931725
"India","Australia","2015","all",0.0380362475096866
"Indonesia","Australia","2015","all",0.00393619759843468
"Italy","Australia","2015","all",0.0260101069996431
"Japan","Australia","2015","all",0.0440732379985549
"Mexico","Australia","2015","all",0.0729994786760573
"Republic of Korea","Australia","2015","all",0.122407299651654
"Russia","Australia","2015","all",0.0693178052300122
"Saudi Arabia","Australia","2015","all",0
"South Africa","Australia","2015","all",0.0238885881298239
"Turkey","Australia","2015","all",0
"United Kingdom","Australia","2015","all",0.0284623925503782
"United States of America","Australia","2015","all",0.0114722196042634
"World","Australia","2015","all",0.0335008809394058
"Argentina","Brazil","2015","all",0.644379067301335
"Australia","Brazil","2015","all",0.0468473851181091
"Canada","Brazil","2015","all",0.173314428059654
"China","Brazil","2015","all",0.597185238750375
"France","Brazil","2015","all",0.64581813187725
"Germany","Brazil","2015","all",0.603387529484705
"India","Brazil","2015","all",0.85251044995463
"Indonesia","Brazil","2015","all",0.433314887732619
"Italy","Brazil","2015","all",0.555478301586472
"Japan","Brazil","2015","all",0.651434947469294
"Mexico","Brazil","2015","all",0.617187399038038
"Republic of Korea","Brazil","2015","all",0.53801689961992
"Russia","Brazil","2015","all",0.0913565336988029
"Saudi Arabia","Brazil","2015","all",0.961182314032401
"South Africa","Brazil","2015","all",0.251833867863873
"Turkey","Brazil","2015","all",0.395282877197842
"United Kingdom","Brazil","2015","all",0.555622000717296
"United States of America","Brazil","2015","all",0.537265032928384
"World","Brazil","2015","all",0.576699967739354
"Argentina","Canada","2015","all",0.128798834062676
"Australia","Canada","2015","all",0.284044996923257
"Brazil","Canada","2015","all",0.154934794456505
"China","Canada","2015","all",0.084110305510197
"France","Canada","2015","all",0.286061220477738
"Germany","Canada","2015","all",0.332464989818005
"India","Canada","2015","all",0.0837097190067722
"Indonesia","Canada","2015","all",0.0816535472394011
"Italy","Canada","2015","all",0.220560850733423
"Japan","Canada","2015","all",0.497210936828157
"Mexico","Canada","2015","all",0.347646309655059
"Republic of Korea","Canada","2015","all",0.396698717344459
"Russia","Canada","2015","all",0.790028469124842
"Saudi Arabia","Canada","2015","all",0.984271089602283
"South Africa","Canada","2015","all",0.234792287619726
"Turkey","Canada","2015","all",0.21967083323611
